Integration Evaluation: -1.4702869040212156	 Time: 123.72016772031785	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 30000  
Integration Evaluation: -1.491195699934199	 Time: 126.48772662878036	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 30000  
Integration Evaluation: -1.4910112054642308	 Time: 127.1004907687505	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 30000  
Integration Evaluation: -1.4687207638878412	 Time: 132.01541454792022	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 32000  
Integration Evaluation: -1.485270108637548	 Time: 133.78104676802954	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 32000  
Integration Evaluation: -1.4852573752896907	 Time: 133.89896555344265	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 32000  
Integration Evaluation: -1.4686958775790109	 Time: 138.62694468100867	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 34000  
Integration Evaluation: -1.483857064762928	 Time: 143.24899345239004	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 34000  
Integration Evaluation: -1.4838662211209592	 Time: 143.55897815227507	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 34000  
Integration Evaluation: -1.4666068615692471	 Time: 147.3055005590121	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 36000  
Integration Evaluation: -1.4860666665645885	 Time: 150.4340259631475	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 36000  
Integration Evaluation: -1.4855454322407233	 Time: 151.27120254039764	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 36000  
Integration Evaluation: -1.4614220771839588	 Time: 157.64645517667134	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 38000  
Integration Evaluation: -1.4810220441985649	 Time: 160.14289147059122	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 38000  
Integration Evaluation: -1.4804634142927517	 Time: 160.59865593910217	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 38000  
Integration Evaluation: -1.4598017123293434	 Time: 164.89044864177703	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 40000  
Integration Evaluation: -1.4797719919459034	 Time: 168.01132507324218	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 40000  
Integration Evaluation: -1.4804854001869687	 Time: 168.56267384290695	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 40000  
Integration Evaluation: -1.462533571170627	 Time: 173.18009896675747	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 42000  
Integration Evaluation: -1.484076539550114	 Time: 176.3832900484403	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 42000  
Integration Evaluation: -1.4832318642294495	 Time: 177.23888094822567	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 42000  
Integration Evaluation: -1.4579612101457338	 Time: 181.34102954864503	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 44000  
Integration Evaluation: -1.4800027056702338	 Time: 184.64607816139858	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 44000  
Integration Evaluation: -1.4786973972393207	 Time: 185.44583820501964	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 44000  
