Error percent: 0.48610384947517965	Epsilon:1/10000000	Domain Size: 500 	Integration Evaluation: -2.694930567210491	 Time: 15.458938550949096
Error percent: 0.48610368767175804	Epsilon:1/100000000	Domain Size: 500 	Integration Evaluation: -2.6949314157262587	 Time: 15.44235405921936
Error percent: 0.4861035888580924	Epsilon:1/1000000000	Domain Size: 500 	Integration Evaluation: -2.6949319339164957	 Time: 15.440339605013529
Error percent: 0.4861142707949684	Epsilon:1/10000000000	Domain Size: 500 	Integration Evaluation: -2.694875916609935	 Time: 15.422723189989727
Error percent: 0.4861033922588656	Epsilon:1/100000000000	Domain Size: 500 	Integration Evaluation: -2.694932964905471	 Time: 15.46911404132843
Error percent: 0.4627650443557898	Epsilon:1/1000	Domain Size: 600 	Integration Evaluation: -2.817321947753386	 Time: 18.794002385934196
Error percent: 0.4574549887165675	Epsilon:1/10000	Domain Size: 600 	Integration Evaluation: -2.845168490758455	 Time: 17.952195914586387
Error percent: 0.45748000766544356	Epsilon:1/100000	Domain Size: 600 	Integration Evaluation: -2.845037288510653	 Time: 17.908443427085878
Error percent: 0.4530015082552644	Epsilon:1/1000000	Domain Size: 600 	Integration Evaluation: -2.868523054931359	 Time: 17.860648465156554
Error percent: 0.4530130581763679	Epsilon:1/10000000	Domain Size: 600 	Integration Evaluation: -2.8684624858155976	 Time: 17.890338695049287
Error percent: 0.4530117432581709	Epsilon:1/100000000	Domain Size: 600 	Integration Evaluation: -2.868469381397981	 Time: 17.89238401254018
Error percent: 0.45301149157801596	Epsilon:1/1000000000	Domain Size: 600 	Integration Evaluation: -2.8684707012376838	 Time: 17.856772331396737
Error percent: 0.4530114829375491	Epsilon:1/10000000000	Domain Size: 600 	Integration Evaluation: -2.8684707465492867	 Time: 17.884368451436362
Error percent: 0.4530114830158808	Epsilon:1/100000000000	Domain Size: 600 	Integration Evaluation: -2.8684707461385064	 Time: 17.90055323044459
Error percent: 0.2183579001087078	Epsilon:1/1000	Domain Size: 700 	Integration Evaluation: -4.099021145545437	 Time: 20.854027700424194
Error percent: 0.23389635629003672	Epsilon:1/10000	Domain Size: 700 	Integration Evaluation: -4.017535692720855	 Time: 19.545139801502227
Error percent: 0.23243772431626553	Epsilon:1/100000	Domain Size: 700 	Integration Evaluation: -4.025184926692373	 Time: 19.543592564264934
Error percent: 0.2323697837267097	Epsilon:1/1000000	Domain Size: 700 	Integration Evaluation: -4.025541214964549	 Time: 19.673008024692535
Error percent: 0.2221092470183626	Epsilon:1/10000000	Domain Size: 700 	Integration Evaluation: -4.079348650538975	 Time: 19.56014422972997
Error percent: 0.22210588535280973	Epsilon:1/100000000	Domain Size: 700 	Integration Evaluation: -4.079366279500091	 Time: 19.526759747664133
Error percent: 0.2223428254295889	Epsilon:1/1000000000	Domain Size: 700 	Integration Evaluation: -4.078123738463624	 Time: 19.57604373296102
Error percent: 0.22234278078659625	Epsilon:1/10000000000	Domain Size: 700 	Integration Evaluation: -4.078123972576616	 Time: 19.580390751361847
Error percent: 0.2223428138190714	Epsilon:1/100000000000	Domain Size: 700 	Integration Evaluation: -4.078123799350514	 Time: 19.556914405028024
Error percent: 0.21421835103860226	Epsilon:1/1000	Domain Size: 800 	Integration Evaluation: -4.120729417366703	 Time: 23.701067725817364
Error percent: 0.2136374477326364	Epsilon:1/10000	Domain Size: 800 	Integration Evaluation: -4.123775741170145	 Time: 21.80091868241628
Error percent: 0.21347971066655044	Epsilon:1/100000	Domain Size: 800 	Integration Evaluation: -4.12460293250159	 Time: 21.805632603168487
Error percent: 0.21336780695463253	Epsilon:1/1000000	Domain Size: 800 	Integration Evaluation: -4.1251897684479655	 Time: 21.874483931064606
Error percent: 0.2133838661244818	Epsilon:1/10000000	Domain Size: 800 	Integration Evaluation: -4.125105552312728	 Time: 21.79549962679545
Error percent: 0.21338936406929082	Epsilon:1/100000000	Domain Size: 800 	Integration Evaluation: -4.1250767204572885	 Time: 21.83402879635493
Error percent: 0.21338893190601924	Epsilon:1/1000000000	Domain Size: 800 	Integration Evaluation: -4.12507898677123	 Time: 21.80757159392039
Error percent: 0.21338861778108295	Epsilon:1/10000000000	Domain Size: 800 	Integration Evaluation: -4.125080634078555	 Time: 21.92270700931549
Error percent: 0.21338784733229754	Epsilon:1/100000000000	Domain Size: 800 	Integration Evaluation: -4.125084674400671	 Time: 21.79274868965149
Error percent: 0.1892222425476968	Epsilon:1/1000	Domain Size: 900 	Integration Evaluation: -4.251811887559671	 Time: 27.26338721116384
Error percent: 0.18854649690320263	Epsilon:1/10000	Domain Size: 900 	Integration Evaluation: -4.255355575503523	 Time: 24.669648881753286
Error percent: 0.18824744044649042	Epsilon:1/100000	Domain Size: 900 	Integration Evaluation: -4.256923861986487	 Time: 24.626876934369406
Error percent: 0.1881004343604519	Epsilon:1/1000000	Domain Size: 900 	Integration Evaluation: -4.2576947788233355	 Time: 24.572990616162617
Error percent: 0.1880955246927402	Epsilon:1/10000000	Domain Size: 900 	Integration Evaluation: -4.2577205256859605	 Time: 24.58532660007477
Error percent: 0.18809551483888354	Epsilon:1/100000000	Domain Size: 900 	Integration Evaluation: -4.257720577360719	 Time: 24.61143503189087
Error percent: 0.18809535870656802	Epsilon:1/1000000000	Domain Size: 900 	Integration Evaluation: -4.257721396136554	 Time: 24.711688335736593
Error percent: 0.18809549354808683	Epsilon:1/10000000000	Domain Size: 900 	Integration Evaluation: -4.257720689012108	 Time: 24.652964893976847
Error percent: 0.18809498762959953	Epsilon:1/100000000000	Domain Size: 900 	Integration Evaluation: -4.257723342106891	 Time: 24.64536959727605
Error percent: 0.8538628740209435	Epsilon:1/1000	Domain Size: 1000 	Integration Evaluation: -9.72187030689663	 Time: 5.3398992896080015
Error percent: 0.8540534966768787	Epsilon:1/10000	Domain Size: 1000 	Integration Evaluation: -9.722869954046658	 Time: 2.0412780682245892
Error percent: 0.8540725589775285	Epsilon:1/100000	Domain Size: 1000 	Integration Evaluation: -9.7229699189455	 Time: 2.040947985649109
Error percent: 0.8540744652069893	Epsilon:1/1000000	Domain Size: 1000 	Integration Evaluation: -9.722979915432216	 Time: 2.0372525493303937
Error percent: 0.8540746558299431	Epsilon:1/10000000	Domain Size: 1000 	Integration Evaluation: -9.722980915080928	 Time: 2.038932681083679
Error percent: 0.8540746748922126	Epsilon:1/100000000	Domain Size: 1000 	Integration Evaluation: -9.722981015045663	 Time: 2.0381882508595783
Error percent: 0.8540746767986087	Epsilon:1/1000000000	Domain Size: 1000 	Integration Evaluation: -9.722981025043024	 Time: 2.041565708319346
Error percent: 0.854074676989321	Epsilon:1/10000000000	Domain Size: 1000 	Integration Evaluation: -9.722981026043142	 Time: 2.040504296620687
Error percent: 0.8540746770081591	Epsilon:1/100000000000	Domain Size: 1000 	Integration Evaluation: -9.72298102614193	 Time: 2.0420905550320945
Error percent: 0.8538628740209435	Epsilon:1/1000	Domain Size: 1100 	Integration Evaluation: -9.72187030689663	 Time: 2.2873330950737
Error percent: 0.8540534966768787	Epsilon:1/10000	Domain Size: 1100 	Integration Evaluation: -9.722869954046658	 Time: 2.2417704542477925
Error percent: 0.8540725589775285	Epsilon:1/100000	Domain Size: 1100 	Integration Evaluation: -9.7229699189455	 Time: 2.2394548296928405
Error percent: 0.8540744652069893	Epsilon:1/1000000	Domain Size: 1100 	Integration Evaluation: -9.722979915432216	 Time: 2.2330817143122355
Error percent: 0.8540746558299431	Epsilon:1/10000000	Domain Size: 1100 	Integration Evaluation: -9.722980915080928	 Time: 2.2350540002187094
Error percent: 0.8540746748922126	Epsilon:1/100000000	Domain Size: 1100 	Integration Evaluation: -9.722981015045663	 Time: 2.2358784556388853
Error percent: 0.8540746767986087	Epsilon:1/1000000000	Domain Size: 1100 	Integration Evaluation: -9.722981025043024	 Time: 2.2375084797541303
Error percent: 0.854074676989321	Epsilon:1/10000000000	Domain Size: 1100 	Integration Evaluation: -9.722981026043142	 Time: 2.236775235335032
Error percent: 0.8540746770081591	Epsilon:1/100000000000	Domain Size: 1100 	Integration Evaluation: -9.72298102614193	 Time: 2.2400675853093466
Error percent: 0.8538628740209435	Epsilon:1/1000	Domain Size: 1200 	Integration Evaluation: -9.72187030689663	 Time: 2.597037653128306
Error percent: 0.8540534966768787	Epsilon:1/10000	Domain Size: 1200 	Integration Evaluation: -9.722869954046658	 Time: 2.468099761009216
Error percent: 0.8540725589775285	Epsilon:1/100000	Domain Size: 1200 	Integration Evaluation: -9.7229699189455	 Time: 2.4690359910329183
Error percent: 0.8540744652069893	Epsilon:1/1000000	Domain Size: 1200 	Integration Evaluation: -9.722979915432216	 Time: 2.4815598487854005
Error percent: 0.8540746558299431	Epsilon:1/10000000	Domain Size: 1200 	Integration Evaluation: -9.722980915080928	 Time: 2.4855288823445636
Error percent: 0.8540746748922126	Epsilon:1/100000000	Domain Size: 1200 	Integration Evaluation: -9.722981015045663	 Time: 2.4851244926452636
Error percent: 0.8540746767986087	Epsilon:1/1000000000	Domain Size: 1200 	Integration Evaluation: -9.722981025043024	 Time: 2.4852277000745135
Error percent: 0.854074676989321	Epsilon:1/10000000000	Domain Size: 1200 	Integration Evaluation: -9.722981026043142	 Time: 2.4679526964823406
Error percent: 0.8540746770081591	Epsilon:1/100000000000	Domain Size: 1200 	Integration Evaluation: -9.72298102614193	 Time: 2.4686999320983887
Error percent: 0.8538628740209435	Epsilon:1/1000	Domain Size: 1300 	Integration Evaluation: -9.72187030689663	 Time: 2.8341577370961506
Error percent: 0.8540534966768787	Epsilon:1/10000	Domain Size: 1300 	Integration Evaluation: -9.722869954046658	 Time: 2.627628795305888
Error percent: 0.8540725589775285	Epsilon:1/100000	Domain Size: 1300 	Integration Evaluation: -9.7229699189455	 Time: 2.63671098947525
Error percent: 0.8540744652069893	Epsilon:1/1000000	Domain Size: 1300 	Integration Evaluation: -9.722979915432216	 Time: 2.629806725184123
Error percent: 0.8540746558299431	Epsilon:1/10000000	Domain Size: 1300 	Integration Evaluation: -9.722980915080928	 Time: 2.617718744277954
Error percent: 0.8540746748922126	Epsilon:1/100000000	Domain Size: 1300 	Integration Evaluation: -9.722981015045663	 Time: 2.620796227455139
Error percent: 0.8540746767986087	Epsilon:1/1000000000	Domain Size: 1300 	Integration Evaluation: -9.722981025043024	 Time: 2.6187520464261373
Error percent: 0.854074676989321	Epsilon:1/10000000000	Domain Size: 1300 	Integration Evaluation: -9.722981026043142	 Time: 2.6310946782430014
Error percent: 0.8540746770081591	Epsilon:1/100000000000	Domain Size: 1300 	Integration Evaluation: -9.72298102614193	 Time: 2.6430728435516357
Error percent: 0.8538628740209435	Epsilon:1/1000	Domain Size: 1400 	Integration Evaluation: -9.72187030689663	 Time: 3.2619944771130878
Error percent: 0.8540534966768787	Epsilon:1/10000	Domain Size: 1400 	Integration Evaluation: -9.722869954046658	 Time: 2.83615509668986
Error percent: 0.8540725589775285	Epsilon:1/100000	Domain Size: 1400 	Integration Evaluation: -9.7229699189455	 Time: 2.8340194980303446
Error percent: 0.8540744652069893	Epsilon:1/1000000	Domain Size: 1400 	Integration Evaluation: -9.722979915432216	 Time: 2.836776149272919
Error percent: 0.8540746558299431	Epsilon:1/10000000	Domain Size: 1400 	Integration Evaluation: -9.722980915080928	 Time: 2.857789731025696
Error percent: 0.8540746748922126	Epsilon:1/100000000	Domain Size: 1400 	Integration Evaluation: -9.722981015045663	 Time: 2.854511392116547
Error percent: 0.8540746767986087	Epsilon:1/1000000000	Domain Size: 1400 	Integration Evaluation: -9.722981025043024	 Time: 2.8349634289741514
Error percent: 0.854074676989321	Epsilon:1/10000000000	Domain Size: 1400 	Integration Evaluation: -9.722981026043142	 Time: 2.8357444564501444
Error percent: 0.8540746770081591	Epsilon:1/100000000000	Domain Size: 1400 	Integration Evaluation: -9.72298102614193	 Time: 2.835192314783732
Error percent: 0.8538628740209435	Epsilon:1/1000	Domain Size: 1500 	Integration Evaluation: -9.72187030689663	 Time: 3.6603349804878236
